date,poste,ibis,campanile,casabella
25/11/2020,61,60,62,83
26/11/2020,61,54,58,78
27/11/2020,61,,62,83
28/11/2020,61,,62,75
29/11/2020,61,,62,83
30/11/2020,61,54,62,83
01/12/2020,61,60,60,75
02/12/2020,61,60,58,78
03/12/2020,61,60,62,83
04/12/2020,61,,62,83
05/12/2020,61,,62,83
06/12/2020,61,,58,78
07/12/2020,61,60,62,83
08/12/2020,61,60,58,78
09/12/2020,61,60,56,75
10/12/2020,61,60,62,83
11/12/2020,61,,62,83
12/12/2020,61,,62,83
13/12/2020,61,,62,83
14/12/2020,61,60,62,83
15/12/2020,61,60,62,83
16/12/2020,61,60,56,75
17/12/2020,61,60,58,78
18/12/2020,47,,58,83
19/12/2020,47,,58,83
20/12/2020,61,,58,83
21/12/2020,61,60,51,73
22/12/2020,61,60,58,83
23/12/2020,61,60,58,83
24/12/2020,81,60,58,83
25/12/2020,81,60,58,83
26/12/2020,81,60,58,83
27/12/2020,81,60,58,83
28/12/2020,81,60,58,83
29/12/2020,81,60,58,83
30/12/2020,81,60,58,83
31/12/2020,81,60,58,83
01/01/2021,61,60,58,
02/01/2021,61,60,58,
03/01/2021,61,60,58,
04/01/2021,61,60,68,
05/01/2021,61,60,68,
06/01/2021,61,60,68,
07/01/2021,61,60,68,
08/01/2021,61,60,68,
09/01/2021,61,60,68,
10/01/2021,61,60,68,
11/01/2021,61,60,68,
12/01/2021,61,60,68,
13/01/2021,61,60,68,
14/01/2021,61,60,68,
15/01/2021,61,60,68,
16/01/2021,61,60,68,
17/01/2021,61,60,68,
18/01/2021,61,60,68,
19/01/2021,61,60,68,
20/01/2021,61,60,68,
21/01/2021,61,60,68,
22/01/2021,61,60,68,
23/01/2021,61,60,68,
24/01/2021,61,60,68,
25/01/2021,61,60,68,
26/01/2021,61,60,68,
27/01/2021,61,60,68,
28/01/2021,61,60,68,
29/01/2021,61,60,68,
30/01/2021,61,60,68,
31/01/2021,61,60,68,
01/02/2021,61,60,68,
02/02/2021,61,60,68,
03/02/2021,61,60,68,
04/02/2021,61,60,68,
05/02/2021,61,60,68,
06/02/2021,61,60,68,
07/02/2021,61,60,68,
08/02/2021,61,60,68,
09/02/2021,61,60,68,
10/02/2021,61,60,68,
11/02/2021,61,60,68,
12/02/2021,61,60,68,
13/02/2021,61,60,68,
14/02/2021,61,60,68,
15/02/2021,61,60,68,
16/02/2021,61,60,68,
17/02/2021,61,60,68,
18/02/2021,61,60,68,
19/02/2021,61,60,68,
20/02/2021,61,60,68,
21/02/2021,61,60,68,
22/02/2021,61,60,68,
23/02/2021,61,60,68,
24/02/2021,61,60,68,
25/02/2021,61,60,68,
26/02/2021,61,60,68,
27/02/2021,61,60,68,
28/02/2021,61,60,68,
01/03/2021,61,60,72,
02/03/2021,61,60,72,
03/03/2021,61,60,72,
04/03/2021,61,60,72,
05/03/2021,61,60,72,
06/03/2021,61,60,72,
07/03/2021,61,60,72,
08/03/2021,61,60,72,
09/03/2021,61,60,72,
10/03/2021,61,60,72,
11/03/2021,61,60,72,
12/03/2021,61,60,72,
13/03/2021,61,60,72,
14/03/2021,61,60,72,
15/03/2021,61,65,72,
16/03/2021,61,65,72,
17/03/2021,61,65,72,
18/03/2021,61,65,72,
19/03/2021,61,62,72,
20/03/2021,61,62,72,
21/03/2021,61,62,72,
22/03/2021,61,65,72,
23/03/2021,61,65,72,
24/03/2021,61,65,72,
25/03/2021,61,65,72,
26/03/2021,61,62,72,
27/03/2021,61,62,72,
28/03/2021,61,62,72,
29/03/2021,61,65,72,
30/03/2021,61,65,72,
31/03/2021,61,65,72,
01/04/2021,61,65,72,
02/04/2021,61,62,72,
03/04/2021,61,62,72,
04/04/2021,61,60,72,
05/04/2021,61,60,72,
06/04/2021,61,65,72,
07/04/2021,61,65,72,
08/04/2021,61,65,72,
09/04/2021,61,62,72,
10/04/2021,61,62,72,
11/04/2021,61,62,72,
12/04/2021,61,65,72,
13/04/2021,61,65,72,
14/04/2021,61,65,72,
15/04/2021,61,65,72,
16/04/2021,61,62,72,
17/04/2021,61,62,72,
18/04/2021,61,62,72,
19/04/2021,61,65,72,
20/04/2021,61,65,72,
21/04/2021,61,65,72,
22/04/2021,61,65,72,
23/04/2021,61,62,72,
24/04/2021,61,62,72,
25/04/2021,61,62,72,
26/04/2021,61,60,72,
27/04/2021,61,60,72,
28/04/2021,61,60,72,
29/04/2021,61,60,72,
30/04/2021,61,60,65,
01/05/2021,66,60,73,
02/05/2021,66,60,66,
03/05/2021,66,60,73,
04/05/2021,66,60,73,
05/05/2021,66,60,73,
06/05/2021,66,60,73,
07/05/2021,66,60,73,
08/05/2021,66,60,73,
09/05/2021,66,60,73,
10/05/2021,66,60,73,
11/05/2021,66,60,73,
12/05/2021,66,62,73,
13/05/2021,66,62,73,
14/05/2021,66,62,73,
15/05/2021,66,65,73,
16/05/2021,66,65,73,
17/05/2021,66,68,73,
18/05/2021,66,68,73,
19/05/2021,66,68,73,
20/05/2021,66,68,73,
21/05/2021,66,65,93,
22/05/2021,66,65,93,
23/05/2021,66,62,73,
